标签名,标签名 (原始),中文翻译,完整显示,分类,子分类,使用次数,热度
1girl,1girl,1 个女孩,1girl (1 个女孩),一般标签,其他,7615480,🔥🔥🔥
solo,solo,单人,solo (单人),一般标签,其他,6364875,🔥🔥🔥
long hair,long_hair,长发,long hair (长发),一般标签,角色特征,5603130,🔥🔥🔥
breasts,breasts,胸部,breasts (胸部),一般标签,角色特征,4467807,🔥🔥🔥
looking at viewer,looking_at_viewer,看向观众,looking at viewer (看向观众),一般标签,构图,4392282,🔥🔥🔥
smile,smile,微笑,smile (微笑),一般标签,表情,3752375,🔥🔥🔥
blush,blush,脸红,blush (脸红),一般标签,表情,3718016,🔥🔥🔥
open mouth,open_mouth,张嘴,open mouth (张嘴),一般标签,其他,3115270,🔥🔥🔥
short hair,short_hair,短发,short hair (短发),一般标签,角色特征,2858929,🔥🔥🔥
shirt,shirt,衬衫,shirt (衬衫),一般标签,服饰,2572511,🔥🔥🔥
simple background,simple_background,简单背景,simple background (简单背景),一般标签,场景,2509611,🔥🔥🔥
blue eyes,blue_eyes,蓝眼睛,blue eyes (蓝眼睛),一般标签,角色特征,2244419,🔥🔥🔥
long sleeves,long_sleeves,long sleeves,long sleeves (long sleeves),一般标签,其他,2109423,🔥🔥🔥
white background,white_background,白色背景,white background (白色背景),一般标签,场景,2067477,🔥🔥🔥
large breasts,large_breasts,大胸部,large breasts (大胸部),一般标签,角色特征,2035568,🔥🔥🔥
black hair,black_hair,黑发,black hair (黑发),一般标签,角色特征,1981766,🔥🔥🔥
skirt,skirt,裙子,skirt (裙子),一般标签,服饰,1977016,🔥🔥🔥
blonde hair,blonde_hair,金发,blonde hair (金发),一般标签,角色特征,1974248,🔥🔥🔥
holding,holding,手持,holding (手持),一般标签,其他,1954954,🔥🔥🔥
multiple girls,multiple_girls,多个女孩,multiple girls (多个女孩),一般标签,其他,1921119,🔥🔥🔥
brown hair,brown_hair,棕发,brown hair (棕发),一般标签,角色特征,1905203,🔥🔥🔥
1boy,1boy,1 个男孩,1boy (1 个男孩),一般标签,其他,1905033,🔥🔥🔥
hair ornament,hair_ornament,发饰,hair ornament (发饰),一般标签,角色特征,1854331,🔥🔥🔥
gloves,gloves,手套,gloves (手套),一般标签,其他,1755765,🔥🔥🔥
dress,dress,连衣裙,dress (连衣裙),一般标签,服饰,1738037,🔥🔥🔥
closed mouth,closed_mouth,闭嘴,closed mouth (闭嘴),一般标签,其他,1707105,🔥🔥🔥
red eyes,red_eyes,红眼睛,red eyes (红眼睛),一般标签,角色特征,1616763,🔥🔥🔥
hair between eyes,hair_between_eyes,刘海过眼,hair between eyes (刘海过眼),一般标签,角色特征,1584983,🔥🔥🔥
animal ears,animal_ears,兽耳,animal ears (兽耳),一般标签,角色特征,1559316,🔥🔥🔥
hat,hat,帽子,hat (帽子),一般标签,服饰,1549871,🔥🔥🔥
bow,bow,蝴蝶结,bow (蝴蝶结),一般标签,其他,1539789,🔥🔥🔥
navel,navel,肚脐,navel (肚脐),一般标签,其他,1455104,🔥🔥🔥
original,original,原创,original (原创),角色,其他,1446514,🔥🔥🔥
jewelry,jewelry,珠宝,jewelry (珠宝),一般标签,物品,1433531,🔥🔥🔥
thighhighs,thighhighs,过膝袜,thighhighs (过膝袜),一般标签,其他,1417793,🔥🔥🔥
ribbon,ribbon,丝带,ribbon (丝带),一般标签,其他,1342426,🔥🔥🔥
jacket,jacket,夹克,jacket (夹克),一般标签,服饰,1319249,🔥🔥🔥
2girls,2girls,2 个女孩,2girls (2 个女孩),一般标签,其他,1299502,🔥🔥🔥
cleavage,cleavage,乳沟,cleavage (乳沟),一般标签,其他,1281990,🔥🔥🔥
very long hair,very_long_hair,超长发,very long hair (超长发),一般标签,角色特征,1270636,🔥🔥🔥
bare shoulders,bare_shoulders,露肩,bare shoulders (露肩),一般标签,其他,1247982,🔥🔥🔥
white shirt,white_shirt,白衬衫,white shirt (白衬衫),一般标签,服饰,1231772,🔥🔥🔥
standing,standing,站立,standing (站立),一般标签,动作,1199721,🔥🔥🔥
sitting,sitting,坐着,sitting (坐着),一般标签,动作,1196550,🔥🔥🔥
full body,full_body,全身,full body (全身),一般标签,角色特征,1133580,🔥🔥🔥
twintails,twintails,双马尾,twintails (双马尾),一般标签,角色特征,1129833,🔥🔥🔥
medium breasts,medium_breasts,medium 胸部,medium breasts (medium 胸部),一般标签,角色特征,1105387,🔥🔥🔥
blue hair,blue_hair,蓝发,blue hair (蓝发),一般标签,角色特征,1092390,🔥🔥🔥
green eyes,green_eyes,绿眼睛,green eyes (绿眼睛),一般标签,角色特征,1082652,🔥🔥🔥
purple eyes,purple_eyes,紫眼睛,purple eyes (紫眼睛),一般标签,角色特征,1069723,🔥🔥🔥
upper body,upper_body,上半身,upper body (上半身),一般标签,角色特征,1057606,🔥🔥🔥
tail,tail,尾巴,tail (尾巴),一般标签,角色特征,1056544,🔥🔥🔥
nipples,nipples,nipples,nipples (nipples),一般标签,其他,1036845,🔥🔥🔥
touhou,touhou,touhou,touhou (touhou),角色,其他,1027846,🔥🔥🔥
multicolored hair,multicolored_hair,multicolored hair,multicolored hair (multicolored hair),一般标签,角色特征,1024552,🔥🔥🔥
brown eyes,brown_eyes,棕眼睛,brown eyes (棕眼睛),一般标签,角色特征,1012384,🔥🔥🔥
male focus,male_focus,male focus,male focus (male focus),一般标签,其他,1009648,🔥🔥🔥
collarbone,collarbone,锁骨,collarbone (锁骨),一般标签,其他,1006649,🔥🔥🔥
school uniform,school_uniform,校服,school uniform (校服),一般标签,场景,972792,🔥🔥🔥
underwear,underwear,underwear,underwear (underwear),一般标签,角色特征,947818,🔥🔥🔥
closed eyes,closed_eyes,闭眼,closed eyes (闭眼),一般标签,角色特征,946812,🔥🔥🔥
white hair,white_hair,白发,white hair (白发),一般标签,角色特征,937526,🔥🔥🔥
pink hair,pink_hair,粉发,pink hair (粉发),一般标签,角色特征,936784,🔥🔥🔥
grey hair,grey_hair,灰发,grey hair (灰发),一般标签,角色特征,922385,🔥🔥🔥
yellow eyes,yellow_eyes,黄眼睛,yellow eyes (黄眼睛),一般标签,角色特征,918540,🔥🔥🔥
ponytail,ponytail,马尾,ponytail (马尾),一般标签,角色特征,880702,🔥🔥🔥
ahoge,ahoge,呆毛,ahoge (呆毛),一般标签,其他,861750,🔥🔥🔥
sidelocks,sidelocks,sidelocks,sidelocks (sidelocks),一般标签,其他,834807,🔥🔥🔥
purple hair,purple_hair,紫发,purple hair (紫发),一般标签,角色特征,834061,🔥🔥🔥
braid,braid,braid,braid (braid),一般标签,其他,828805,🔥🔥🔥
swimsuit,swimsuit,泳装,swimsuit (泳装),一般标签,服饰,823672,🔥🔥🔥
short sleeves,short_sleeves,矮 sleeves,short sleeves (矮 sleeves),一般标签,其他,818134,🔥🔥🔥
flower,flower,花,flower (花),一般标签,物品,801878,🔥🔥🔥
heart,heart,心形,heart (心形),一般标签,画风,795035,🔥🔥🔥
monochrome,monochrome,单色,monochrome (单色),一般标签,其他,778392,🔥🔥🔥
panties,panties,panties,panties (panties),一般标签,其他,766945,🔥🔥🔥
earrings,earrings,耳环,earrings (耳环),一般标签,角色特征,765193,🔥🔥🔥
cowboy shot,cowboy_shot,cowboy shot,cowboy shot (cowboy shot),一般标签,其他,760354,🔥🔥🔥
shoes,shoes,鞋子,shoes (鞋子),一般标签,服饰,758921,🔥🔥🔥
thighs,thighs,大腿,thighs (大腿),一般标签,其他,745001,🔥🔥🔥
weapon,weapon,武器,weapon (武器),一般标签,物品,744718,🔥🔥🔥
hair ribbon,hair_ribbon,hair 丝带,hair ribbon (hair 丝带),一般标签,角色特征,736648,🔥🔥🔥
ass,ass,ass,ass (ass),一般标签,其他,727688,🔥🔥🔥
outdoors,outdoors,户外,outdoors (户外),一般标签,场景,713579,🔥🔥🔥
hetero,hetero,hetero,hetero (hetero),一般标签,其他,709286,🔥🔥🔥
:d,:d,:d,:d (:d),一般标签,其他,702726,🔥🔥🔥
sweat,sweat,sweat,sweat (sweat),一般标签,其他,688328,🔥🔥🔥
teeth,teeth,teeth,teeth (teeth),一般标签,其他,687899,🔥🔥🔥
frills,frills,frills,frills (frills),一般标签,其他,680415,🔥🔥🔥
hair bow,hair_bow,hair 蝴蝶结,hair bow (hair 蝴蝶结),一般标签,角色特征,679436,🔥🔥🔥
open clothes,open_clothes,open clothes,open clothes (open clothes),一般标签,服饰,679155,🔥🔥🔥
pantyhose,pantyhose,pantyhose,pantyhose (pantyhose),一般标签,其他,678928,🔥🔥🔥
red hair,red_hair,红发,red hair (红发),一般标签,角色特征,670266,🔥🔥🔥
parted lips,parted_lips,parted lips,parted lips (parted lips),一般标签,画风,669018,🔥🔥🔥
comic,comic,comic,comic (comic),一般标签,其他,664994,🔥🔥🔥
collared shirt,collared_shirt,collared 衬衫,collared shirt (collared 衬衫),一般标签,服饰,662536,🔥🔥🔥
pleated skirt,pleated_skirt,pleated 裙子,pleated skirt (pleated 裙子),一般标签,服饰,648208,🔥🔥🔥
small breasts,small_breasts,小胸部,small breasts (小胸部),一般标签,角色特征,642212,🔥🔥🔥
boots,boots,靴子,boots (靴子),一般标签,服饰,640775,🔥🔥🔥
greyscale,greyscale,greyscale,greyscale (greyscale),一般标签,其他,628420,🔥🔥🔥
multiple boys,multiple_boys,多个男孩,multiple boys (多个男孩),一般标签,其他,627517,🔥🔥🔥
bikini,bikini,比基尼,bikini (比基尼),一般标签,其他,627393,🔥🔥🔥
nude,nude,nude,nude (nude),一般标签,其他,626929,🔥🔥🔥
hairband,hairband,hairband,hairband (hairband),一般标签,角色特征,626216,🔥🔥🔥
pants,pants,长裤,pants (长裤),一般标签,服饰,620352,🔥🔥🔥
horns,horns,horns,horns (horns),一般标签,角色特征,616007,🔥🔥🔥
black gloves,black_gloves,black 手套,black gloves (black 手套),一般标签,其他,604161,🔥🔥🔥
censored,censored,censored,censored (censored),一般标签,其他,592563,🔥🔥🔥
necktie,necktie,necktie,necktie (necktie),一般标签,其他,591330,🔥🔥🔥
shorts,shorts,短裤,shorts (短裤),一般标签,其他,591032,🔥🔥🔥
alternate costume,alternate_costume,alternate costume,alternate costume (alternate costume),一般标签,其他,582930,🔥🔥🔥
virtual youtuber,virtual_youtuber,virtual youtuber,virtual youtuber (virtual youtuber),一般标签,其他,569257,🔥🔥🔥
sleeveless,sleeveless,sleeveless,sleeveless (sleeveless),一般标签,其他,568135,🔥🔥🔥
lying,lying,躺着,lying (躺着),一般标签,动作,567408,🔥🔥🔥
food,food,食物,food (食物),一般标签,物品,566893,🔥🔥🔥
wings,wings,wings,wings (wings),一般标签,角色特征,562453,🔥🔥🔥
sky,sky,天空,sky (天空),一般标签,场景,560905,🔥🔥🔥
one eye closed,one_eye_closed,one eye closed,one eye closed (one eye closed),一般标签,角色特征,559193,🔥🔥🔥
medium hair,medium_hair,medium hair,medium hair (medium hair),一般标签,角色特征,553250,🔥🔥🔥
choker,choker,choker,choker (choker),一般标签,其他,552687,🔥🔥🔥
artist name,artist_name,艺术家 name,artist name (艺术家 name),一般标签,画风,537921,🔥🔥🔥
green hair,green_hair,绿发,green hair (绿发),一般标签,角色特征,536993,🔥🔥🔥
penis,penis,penis,penis (penis),一般标签,其他,534155,🔥🔥🔥
detached sleeves,detached_sleeves,detached sleeves,detached sleeves (detached sleeves),一般标签,其他,533421,🔥🔥🔥
pointy ears,pointy_ears,pointy ears,pointy ears (pointy ears),一般标签,角色特征,529820,🔥🔥🔥
kantai collection,kantai_collection,kantai collection,kantai collection (kantai collection),角色,其他,529082,🔥🔥🔥
socks,socks,袜子,socks (袜子),一般标签,其他,522328,🔥🔥🔥
tongue,tongue,tongue,tongue (tongue),一般标签,其他,501532,🔥🔥🔥
indoors,indoors,室内,indoors (室内),一般标签,场景,494652,🔥🔥🔥
hand up,hand_up,hand up,hand up (hand up),一般标签,其他,493625,🔥🔥🔥
official alternate costume,official_alternate_costume,official alternate costume,official alternate costume (official alternate costume),一般标签,其他,490020,🔥🔥🔥
japanese clothes,japanese_clothes,japanese clothes,japanese clothes (japanese clothes),一般标签,服饰,489703,🔥🔥🔥
puffy sleeves,puffy_sleeves,puffy sleeves,puffy sleeves (puffy sleeves),一般标签,其他,471210,🔥🔥🔥
black thighhighs,black_thighhighs,black 过膝袜,black thighhighs (black 过膝袜),一般标签,其他,466268,🔥🔥🔥
pussy,pussy,pussy,pussy (pussy),一般标签,其他,465925,🔥🔥🔥
barefoot,barefoot,barefoot,barefoot (barefoot),一般标签,其他,461300,🔥🔥🔥
glasses,glasses,眼镜,glasses (眼镜),一般标签,服饰,460263,🔥🔥🔥
belt,belt,belt,belt (belt),一般标签,其他,459314,🔥🔥🔥
solo focus,solo_focus,单人 focus,solo focus (单人 focus),一般标签,其他,456427,🔥🔥🔥
bowtie,bowtie,bowtie,bowtie (bowtie),一般标签,其他,428038,🔥🔥🔥
hairclip,hairclip,hairclip,hairclip (hairclip),一般标签,角色特征,424515,🔥🔥🔥
speech bubble,speech_bubble,speech 泡泡,speech bubble (speech 泡泡),一般标签,其他,423570,🔥🔥🔥
day,day,白天,day (白天),一般标签,场景,419401,🔥🔥🔥
2boys,2boys,2 个男孩,2boys (2 个男孩),一般标签,其他,418717,🔥🔥🔥
fang,fang,fang,fang (fang),一般标签,其他,412434,🔥🔥🔥
halo,halo,halo,halo (halo),一般标签,其他,412265,🔥🔥🔥
black skirt,black_skirt,black 裙子,black skirt (black 裙子),一般标签,服饰,412117,🔥🔥🔥
hood,hood,兜帽,hood (兜帽),一般标签,其他,397424,🔥🔥🔥
white gloves,white_gloves,white 手套,white gloves (white 手套),一般标签,其他,394907,🔥🔥🔥
signature,signature,signature,signature (signature),一般标签,场景,393956,🔥🔥🔥
white dress,white_dress,white 连衣裙,white dress (white 连衣裙),一般标签,服饰,392229,🔥🔥🔥
blunt bangs,blunt_bangs,blunt 刘海,blunt bangs (blunt 刘海),一般标签,其他,390017,🔥🔥🔥
blue archive,blue_archive,blue archive,blue archive (blue archive),角色,其他,386656,🔥🔥🔥
fate (series),fate_(series),fate (series),fate (series) (fate (series)),角色,其他,385744,🔥🔥🔥
looking at another,looking_at_another,looking at another,looking at another (looking at another),一般标签,其他,383410,🔥🔥🔥
